PREDDEG,CONTROL,LOCALE,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,PPTUG_EF,INEXPFTE,AVGFACSAL,PCTPELL,PCTFLOAN,CDR2,PAR_ED_PCT_PS,GRAD_DEBT_MDN,MD_FAMINC,MD_EARN_WNE_P6,MD_EARN_WNE_P8,COST
1.0,1.0,12.0,3999.0,0.4191,0.1193,0.3268,0.0323,0.018,0.0048,0.8382,1990.0,7135.0,0.0768,0.0454,0.187,0.5267652572,9500.0,21808.5,30633.0,35483.0,11938.0
1.0,3.0,11.0,27.0,0.8889,0.0,0.037,0.037,0.037,0.0,0.0,21216.0,5799.879792307964,0.1724,0.4828,0.027,0.55969404413051,11488.83021160635,26717.5,25066.0,24951.0,27070.0
2.0,1.0,41.0,4245.0,0.5062,0.0455,0.2895,0.0339,0.0443,0.0014,0.6876,9204.0,10169.0,0.1384,0.0631,0.118,0.5976650202,8000.0,22000.0,38258.0,41556.0,18529.0
1.0,1.0,11.0,2192.0,0.1346,0.1501,0.5762,0.0224,0.0406,0.0014,0.662,7425.0,9922.0,0.3002,0.0628,0.198,0.4104882459,8000.0,21078.0,32860.0,34132.0,16406.0
3.0,2.0,21.0,1028.0,0.4864,0.107,0.2675,0.0126,0.0146,0.0068,0.0973,4421.0,5342.0,0.361,0.7249,0.05,0.6174496644,23000.0,36206.5,41559.0,42468.0,47865.0
2.0,3.0,22.0,1972.0,0.3687,0.0335,0.3235,0.0228,0.0401,0.0274,0.0,3292.0,5725.0,0.4604,0.5988,0.128,0.4513946424,13124.0,28618.0,46572.0,47765.0,29601.0
1.0,1.0,13.0,3577.0,0.6198,0.0157,0.2242,0.0126,0.0254,0.0056,0.6581,7333.0,7961.0,0.1991,0.0423,0.122,0.5,9000.0,17699.0,33199.0,35149.0,12681.0
3.0,1.0,12.0,4802.0,0.4933,0.2597,0.0344,0.0217,0.0104,0.0,0.4009,9365.0,7801.0,0.3971,0.381,0.084,0.6089595376,22000.0,27239.0,37046.0,39905.0,21300.0
3.0,1.0,12.0,1287.0,0.6076,0.1181,0.0925,0.0808,0.0047,0.0,0.4079,42864.0,8393.0,0.3017,0.4806,0.022,0.6049723757,14000.0,29171.5,63466.0,67097.0,45362.204108211474
3.0,2.0,12.0,497.0,0.0342,0.839,0.0805,0.0,0.004,0.0,0.0986,4785.0,4977.0,0.6329,0.5773,0.274,0.5504710633,25375.0,14641.0,23231.0,24755.0,22715.0
1.0,3.0,12.0,98.0,0.0204,0.9184,0.0612,0.0,0.0,0.0,0.0,1073.0,4635.94387507929,0.6077,0.5746,0.025,0.4459459459,6333.0,11328.0,13988.0,18017.0,27731.0
1.0,3.0,33.0,29.0,0.7586,0.069,0.069,0.069,0.0345,0.0,0.3793,4884.0,4302.162243599993,0.5758,0.5303,0.111,0.4705882353,10107.877137100964,14185.0,21046.0,17464.0,14957.0
3.0,2.0,33.0,489.0,0.5112,0.0613,0.0327,0.0123,0.0061,0.002,0.0164,13400.0,5817.0,0.3683,0.5904,0.052,0.7,21500.0,51394.0,35401.0,40061.0,44749.0
1.0,3.0,13.0,60.0,0.1333,0.8333,0.0167,0.0167,0.0,0.0,0.0,11859.0,4698.6411290688375,0.9583,0.9444,0.03,0.3815789474,16500.0,9512.5,16310.0,17937.0,25284.0
1.0,3.0,13.0,16.0,0.625,0.25,0.0,0.0625,0.0625,0.0,0.0,14446.0,5163.1128216328925,0.75,0.6,0.157,0.4571428571,10500.0,15105.5,20392.681821538816,20751.0,18702.0
3.0,1.0,13.0,26002.0,0.7421,0.0429,0.1068,0.028,0.0082,0.0012,0.1003,10615.0,10237.0,0.1822,0.3397,0.049,0.7400385128,21500.0,64201.0,46655.0,51538.0,24611.0
